contentID SMALLINT	content VARCHAR(139)	song VARCHAR(50)	album VARCHAR(40)	year YEAR
0034	He's a demon android gargoyle vampire high-class prick. He sold out our souls, that shit makes me sick.	Sold Out	Buttsteak Sandwich	2009
0035	He's a temptress Cleopatra smooth exploding dick. He sold out our souls, that shit makes me sick.	Sold Out	Buttsteak Sandwich	2009
0036	He'll meet you on your TV, your pop-up ads. He'll host your radio shows, greet you at Lowes.	Sold Out	Buttsteak Sandwich	2009
0037	You can't even breath without breathing Mays. We love you so much, we need you to stay.	Sold Out	Buttsteak Sandwich	2009
0038	You killed my friends, and I'm left here. I don't know you, I don't know you. You left me here all alone, all alone, all alone.	The Six Steps to Debt Relief / I'll Give You Pleasure	Buttsteak Sandwich	2009
0039	Puking behind the church at a quarter to noon.	The Six Steps to Debt Relief / I'll Give You Pleasure	Buttsteak Sandwich	2009
0040	I'd love to put my buttsteak in you. Think of all the fun we could have.	The Six Steps to Debt Relief / I'll Give You Pleasure	Buttsteak Sandwich	2009
0041	I'd love to put my buttsteak in you. Until we are unable to stand.	The Six Steps to Debt Relief / I'll Give You Pleasure	Buttsteak Sandwich	2009
0042	Puking behind the church at a quarter to one. I see your face shawty and I want a gun.	The Six Steps to Debt Relief / I'll Give You Pleasure	Buttsteak Sandwich	2009
0043	I never wanna see you cry again. Six easy steps and I'm able to win.	The Six Steps to Debt Relief / I'll Give You Pleasure	Buttsteak Sandwich	2009
0044	I'll give you pleasure.	The Six Steps to Debt Relief / I'll Give You Pleasure	Buttsteak Sandwich	2009
0045	Mmm, I can't feel no better.	The Six Steps to Debt Relief / I'll Give You Pleasure	Buttsteak Sandwich	2009
0046	Awake. The child beneath me now sings, as the endeavors of my past have now sunken to the dark depths of the sea.	Wereloonesque	Buttsteak Sandwich	2009
0047	Emerge. Another day beckons against the wind, but follow me not for I have forsaken the righteous path of benevolence.	Wereloonesque	Buttsteak Sandwich	2009
0048	Arise, as the hour of opportunity draws near, and the hand of fate extends in a gesture of forgotten solitude.	Wereloonesque	Buttsteak Sandwich	2009
0049	Deliver the rusted sands to the sacred obelisk before the augmentation of the undead reaches the bowels of reality.	Wereloonesque	Buttsteak Sandwich	2009
0050	A lone child, who happens to be a boy, caresses his passion for death.	Wereloonesque	Buttsteak Sandwich	2009
0051	A death that releases his anguish and brings now light to his revelation.	Wereloonesque	Buttsteak Sandwich	2009
0052	Orion, hunter of the snake, contemplates the existence of his only true foe. The prince of chaos.	Wereloonesque	Buttsteak Sandwich	2009
0053	He sends his army of flight swooping down to the abyss of an endless prosperity.	Wereloonesque	Buttsteak Sandwich	2009
0054	What emerges is a wereloon. A condensation of both a coyote and a loon.	Wereloonesque	Buttsteak Sandwich	2009
0055	Its talons are awesome. The talons are made of fire, and the fur hurts a lot when you touch it.	Wereloonesque	Buttsteak Sandwich	2009
0056	Hey, hey, let’s drink some whiskey. Hey, hey, don’t touch me there.	Whiskey and You	Gypsy Moth	2012
0057	Hey, hey, let’s drink some whiskey. There’s a douchebag over there.	Whiskey and You	Gypsy Moth	2012
0058	Who’s that guy on you? What’s he doing here? I'm creeping through the window. He told me to fuck myself.	Whiskey and You	Gypsy Moth	2012
0059	Butcher my senses, and I’ll butcher your face. Watch as it juices all over the place.	Whiskey and You	Gypsy Moth	2012
0060	He flicked me off but here’s the truth. I’ve got some whiskey for you.	Whiskey and You	Gypsy Moth	2012
0061	I’ve got a phone, and it rings sometimes. I threw my phone, and now that shit’s fucking broke.	Whiskey and You	Gypsy Moth	2012
0062	Hey, hey, let’s drink some whiskey. Hey, hey, don’t touch my dick.	Whiskey and You	Gypsy Moth	2012
0063	Hey, hey, let’s drink some whiskey. Go ahead and touch my dick.	Whiskey and You	Gypsy Moth	2012
0064	I’d never want to live in Antarctica. Shit there never goes my way. Whenever I'm in Antarctica I end up having a really bad day.	Antarctica	Gypsy Moth	2012
0065	One time when I was in Antarctica with the honies at the local bar, this dude came up and broke my back. That day really fucking sucked.	Antarctica	Gypsy Moth	2012
0066	One time I went to Antarctica cause I wanted to have a good time. I tripped over a tree and looked real dumb.	Antarctica	Gypsy Moth	2012
0067	I usually don’t do shit like that.	Antarctica	Gypsy Moth	2012
0068	Last May I was in Antarctica meeting up with some long lost friends. We started to play kick the can and I lost.	Antarctica	Gypsy Moth	2012
0069	I’d never want to live in Antarctica, even though I’ve been there 53 times. Every time is worse than the last.	Antarctica	Gypsy Moth	2012
0070	Except when I didn’t get stabbed.	Antarctica	Gypsy Moth	2012
0071	Sometimes I go to Antarctica to party round the clock. But last time I was there I fell asleep at like 10:00.	Antarctica	Gypsy Moth	2012
0072	Sometimes I go to Antarctica to relax after a shitty day. I’ll order a whiskey old fashioned, but it’s barely muddled at all.	Antarctica	Gypsy Moth	2012
0073	I’d never wanna live in Antarctica because they have roundabouts. I fucking hate roundabouts.	Antarctica	Gypsy Moth	2012
0074	Antartica’s a good place to go if you like eating shit for brunch. They have it there all the time, but the sides are usually extra.	Antarctica	Gypsy Moth	2012
0075	One time when I was in Antarctica volunteering at a kindergarten. All the kids made fun of me because I was in Antarctica.	Antarctica	Gypsy Moth	2012
0076	Shining bright against the night, you were there and I felt right. The walls came down all around, and then I heard you sing.	Fly Away	Gypsy Moth	2012
0077	I was stuck inside of you. I felt warm I felt you too.	Fly Away	Gypsy Moth	2012
0078	Now I see, I saw your face. There’s always time to be afraid.	Fly Away	Gypsy Moth	2012
0079	When we were scared, we climbed the stairs. Higher than we had ever prepared.	Fly Away	Gypsy Moth	2012
0080	I reached for you, but you withdrew, so I fly away.	Fly Away	Gypsy Moth	2012
0081	You were the last book I had to read. The story of my life for all to see. The ending was wrong but felt so right, so I fly away.	Fly Away	Gypsy Moth	2012
0082	Monday night is at your door. It makes you want a little more. I have a little more for you. Close your eyes and dreams come true.	Fly Away	Gypsy Moth	2012
0083	You don’t know what you know. You don’t know anything. You don't know why you’re gone, and why you won’t ever come back.	Fly Away	Gypsy Moth	2012
0084	I know what you’re thinking last night. It was a fairytale filled with dolls. Now I'm playing with a loaded gun.	Fly Away	Gypsy Moth	2012
0085	Sometimes I eat pancakes at ten o’clock. It’s really kinda late cause that’s at night.	Fly Away	Gypsy Moth	2012
0086	You’d think it was in the morning, but it was at night.	Fly Away	Gypsy Moth	2012
0087	Sometimes I go to the desert. Sometimes I don’t.	Fly Away	Gypsy Moth	2012
0088	Jelly for the sandwiches my mom was making for the party at the hopscotch forest in the middle of the night.	Threat Machine	Gypsy Moth	2012
0089	Young children and four bags of sleeping powder so they will not know that I am a man they should not trust is sleeping.	Threat Machine	Gypsy Moth	2012
0090	Behind the broken window by the drunken slot machine.	Threat Machine	Gypsy Moth	2012
0091	Was gonna be an actor, was gonna be a star. Wanted to make the money, wanted to fill up my jar.	The Vacuum Man	Gypsy Moth	2012
0092	Then the vacuum spoke to me. My Hoover was a sign from God. I’d ride it straight to happiness. Fuck all that shish kebab.	The Vacuum Man	Gypsy Moth	2012
0093	Slap me over, and spin me round. If you buy this vacuum, I promise they won’t ever hear a sound.	The Vacuum Man	Gypsy Moth	2012
0094	You can count on me to be the one to kill you quickly, and change the bag when you are done.	The Vacuum Man	Gypsy Moth	2012
0095	Vacuum on a Sunday. Vacuum your life away. Vacuum till your last breath. Vacuum you to death.	The Vacuum Man	Gypsy Moth	2012
0096	Vacuum, vacuum, hell yeah!	The Vacuum Man	Gypsy Moth	2012
0097	Vacuum you down a well. Vacuum you straight to hell. Vacuum, you missed that spot. Vacuum, you got it.	The Vacuum Man	Gypsy Moth	2012
0098	I'm the only one. I am what I’ve become. Your carpet is nice and clean. Finally I can breath.	The Vacuum Man	Gypsy Moth	2012
0099	Finally I can be. There’s only one more fee. The vacuum is the key.	The Vacuum Man	Gypsy Moth	2012
0100	Outside on a Sunday, grass green on both my feet. Frisbee flies far and so high.	Least Favorite Nobody	Gypsy Moth	2012
0101	I hate Turk, and I hate you.	Least Favorite Nobody	Gypsy Moth	2012
0102	Front yard is where we play. All day all we do is wait for a chance to be your friend.	Least Favorite Nobody	Gypsy Moth	2012
0103	Nobody. You’re my least favorite nobody.	Least Favorite Nobody	Gypsy Moth	2012
0104	Stukenberg, why be that way? I love you, and Turk does, too. Let’s be friends and play everyday.	Least Favorite Nobody	Gypsy Moth	2012
0105	If you don’t want to play, our band will beat yours everyday. That’s not true. I fucking suck.	Least Favorite Nobody	Gypsy Moth	2012
0106	Pete is my brother. I love him and he loves me. We’re always together, except when we’re apart.	To Pete, With Love	Gypsy Moth	2012
0107	Pete is my brother, but make no mistake. When it comes to friends, I have shit tons more.	To Pete, With Love	Gypsy Moth	2012
0108	I am singing this whole song, and I'm beautiful.	To Pete, With Love	Gypsy Moth	2012
0109	Turk and Rich are perfect. They are my best friends. They like me more than they like you, Pete.	To Pete, With Love	Gypsy Moth	2012
0110	You think that I'm wrong, but here’s the thing that you don’t know: Rich wrote this song.	To Pete, With Love	Gypsy Moth	2012
0111	I am swinging on a swing, and I fell. Now I'm sitting on the ground, and I'm beautiful.	To Pete, With Love	Gypsy Moth	2012
0112	MaryKate, I’d like to take a match and melt off all your clothes. Then i’d like to see your smile disappear beneath my belt.	To Pete, With Love	Gypsy Moth	2012
0113	I stumble through your crude arrangement. Little grief, to your amazement.	Window Pain	Gypsy Moth	2012
0114	I hear you telling me that it is not fair. Across the room from me, you give me your glare.	Window Pain	Gypsy Moth	2012
0115	It was so hot that day. All I wanted was a little breeze. But the window, the window came crashing down.	Window Pain	Gypsy Moth	2012
0116	The pain window! The pain window! Window pain.	Window Pain	Gypsy Moth	2012
0117	Prove to me you’re really never there. My heart bleeds a thousand times for you.	Window Pain	Gypsy Moth	2012
0118	There you are again, sitting on the bench in the park with your hands.	In the Park	Gypsy Moth	2012
0119	I see you every day. I see you every day, but I never have known just what to say.	In the Park	Gypsy Moth	2012
0120	There you are again. This time I'm prepared to make a move. Check these moves.	In the Park	Gypsy Moth	2012
0121	I talk about some wildlife, mention the ozone, photosynthesis and the ocean, flock of geese, diversity.	In the Park	Gypsy Moth	2012
0122	Ladies love a man who’s in love with the land. She’ll love you nice and deep if global warming makes you weep.	In the Park	Gypsy Moth	2012
0123	My advice to you is plant a plant, or maybe two.	In the Park	Gypsy Moth	2012
0124	When she mentions pesticides, say you don’t like pesticides.	In the Park	Gypsy Moth	2012
0125	There you again. You’re wearing your high heels, time for me to seal the deal.	In the Park	Gypsy Moth	2012
0126	You’re talking about some movie. I say fuck that, what about invasive species? That shit sucks.	In the Park	Gypsy Moth	2012
0127	Ladies love a man who can talk about the land. And if that’s all it takes, you can fake it for one date.	In the Park	Gypsy Moth	2012
0128	Say you’re going green, and you don’t like to dry clean. Or at the very least, pretend you don’t eat meat.	In the Park	Gypsy Moth	2012
0129	In the park, babies laugh. Babies cry. Can’t you see? We’re meant to be.	In the Park	Gypsy Moth	2012
0130	I was on a honeymoon at a hospital. I was on the sun, going nowhere.	Gray's the New Brown	Gypsy Moth	2012
0131	I was singing hello to the men at war. I was taking classes to learn to soar.	Gray's the New Brown	Gypsy Moth	2012
0132	I was peeking over the Berlin Wall. I was unsure if I should try to fall.	Gray's the New Brown	Gypsy Moth	2012
0133	I was with some babies up in heaven. I was in the mall buying a brand new skirt.	Gray's the New Brown	Gypsy Moth	2012
0134	Slooby when you stand there, orvalanding, I can’t be right beside you. Borando. Deramona is what deramona does.	Gray's the New Brown	Gypsy Moth	2012
0135	Follow this town. Gray’s the new brown.	Gray's the New Brown	Gypsy Moth	2012
0136	I was in the sea catching all the waves. I was down below, all alone.	Gray's the New Brown	Gypsy Moth	2012
0137	I was the first one to see you come in last. I was drinking whiskey way too fast.	Gray's the New Brown	Gypsy Moth	2012
0138	I was hunkering down for the lonley night. I was watching the tornado pass on by.	Gray's the New Brown	Gypsy Moth	2012
0139	I was partying with the Viet Cong. I was helping me to write this song.	Gray's the New Brown	Gypsy Moth	2012
0140	They are here. Watch your back. Contract with the dead.	Gray's the New Brown	Gypsy Moth	2012
0141	Save me from myself.	Gray's the New Brown	Gypsy Moth	2012
0142	Gray is the new brown.	Gray's the New Brown	Gypsy Moth	2012
0143	There once was a time when food was an afterthought, an expected commodity. The years of plenty.	Phantom Power	Gypsy Moth	2012
0144	Nothing is constant except change. A reality that can be a tough pill to swallow.	Phantom Power	Gypsy Moth	2012
0145	The end came faster than could have been imagined. The land dried up. The earth lay bare, refusing to grow as much as a blade a grass.	Phantom Power	Gypsy Moth	2012
0146	These were dark times. Humanity was dying, along with its will to live.	Phantom Power	Gypsy Moth	2012
0147	On the brink of extinction, a young women stumbled home, cold and alone, dragging her net behind her as she crept.	Phantom Power	Gypsy Moth	2012
0148	Little did she know she had a caught a phantom. A ghost.	Phantom Power	Gypsy Moth	2012
0149	Once home she prepared what was to be her last meal: a few strips of bacon she had stored away for her glorious exit from the world.	Phantom Power	Gypsy Moth	2012
0150	The world was about to change forever.	Phantom Power	Gypsy Moth	2012
0151	From the corner of her eye she caught a glimpse of the phantom still caught in her net. Panicked, she beat it with her club.	Phantom Power	Gypsy Moth	2012
0152	She fried the phantom in the bacon grease, and prepared for the afterlife.	Phantom Power	Gypsy Moth	2012
0153	Two weeks later, she felt better than ever. Strong. Confident. Phantom power.	Phantom Power	Gypsy Moth	2012
0154	I'm a phantom, and you’re a phantom. Let’s phantom together. Let’s phantom right now.	Phantom Power	Gypsy Moth	2012
0155	I'm a phantom, and you’re a phantom. Let’s do the phantom. Let’s do it right now.	Phantom Power	Gypsy Moth	2012
0156	Phantoms are the only thing you need. Phantoms, and a little bacon grease.	Phantom Power	Gypsy Moth	2012
0157	Get away from my toys. Hop out of my ditch.	Jerk	Shadowland	2006
0158	Never do any work. Why are you such a jerk?	Jerk	Shadowland	2006
0159	Making a mess of my stuff, you wear my mothers lace.	Jerk	Shadowland	2006
0160	Cooties all over the ground. You are such a stupid face.	Jerk	Shadowland	2006
0161	My daddy doesn't like you. He thinks that you're dumb.	Jerk	Shadowland	2006
0162	You can't come over, and you can't have fun.	Jerk	Shadowland	2006
0163	I freaking hate you, you are quite fat. Eat poo and broccoli. Eat a big ol' rat.	Jerk	Shadowland	2006
0164	Please be my jerk. Always a jerk.	Jerk	Shadowland	2006
0165	Now the cone standing alone on the corner of the avenue meets a man just walking home past the gutter.	Sound Solution	Shadowland	2006
0166	"Storm drain is full tonight and the man is shaking hands. Then the woman says something like ""I'm actually a man."""	Sound Solution	Shadowland	2006
0167	He stands still for a moment. He's unsure of what to do. He runs to the basement. Locks himself up in a room.	Sound Solution	Shadowland	2006
0168	He was searching for a sound solution, searching as time went by. He was searching for a little more. In the end came no reply.	Sound Solution	Shadowland	2006
0169	Alone never meant much to the white stripe on the road. He was meant to look up at her like somebody he'd like to know.	Sound Solution	Shadowland	2006
0170	Dirt stains upon his face, the warmth slowly subsides. He's helpless for a moment and the cone has never lied.	Sound Solution	Shadowland	2006
0171	Reply to the answer, make time for the game. Wait until tomorrow for what he asks of you today.	Sound Solution	Shadowland	2006
0172	Beaches of spring break were filled with legs. The two of mine both were fake. Although I was different I still fit in.	I Lost My Legs on Spring Break	Shadowland	2006
0173	One morning, on a run I went, off by myself down on the beach. A dog ran up and he barked at me.	I Lost My Legs on Spring Break	Shadowland	2006
0174	Bit my leg off in pain I screamed. My ugly stump was all that I could see.	I Lost My Legs on Spring Break	Shadowland	2006
0175	Took my other leg right off of my hip. Hit the dog with no mercy at all.	I Lost My Legs on Spring Break	Shadowland	2006
0176	Tired I sat down on the beach, when a wave came up and took my legs away from me.	I Lost My Legs on Spring Break	Shadowland	2006
0177	I lost my legs while on spring break. Washed out to sea, far away from me. Now I can't walk, run or stand.	I Lost My Legs on Spring Break	Shadowland	2006
0178	My friends left me here trapped in the sand.	I Lost My Legs on Spring Break	Shadowland	2006
0179	Everyday I hope that this is fake cause I lost my legs while on spring break.	I Lost My Legs on Spring Break	Shadowland	2006
0180	Without my legs I'm nothing at all. I can't move, all I do is fall.	I Lost My Legs on Spring Break	Shadowland	2006
0181	Could someone please come and help. I'd come to you but I can't move.	I Lost My Legs on Spring Break	Shadowland	2006
0182	Be my friend. I need one now.	As I Cross the Street	Shadowland	2006
0183	Just a friend, and not a cow.	As I Cross the Street	Shadowland	2006
0184	Rent a friend is what I need. Someone to buy, who will never leave.	As I Cross the Street	Shadowland	2006
0185	Play with me all summer long. They let me win, I sing a song.	As I Cross the Street	Shadowland	2006
0186	I'm friendless, and I'll admit it, but I need someone to hold my hand.	As I Cross the Street	Shadowland	2006
0187	As I cross the street right in front of you, I'm lonelier than I began.	As I Cross the Street	Shadowland	2006
0188	Always be there is all I ask. Never leave, or I'll attack.	As I Cross the Street	Shadowland	2006
0189	Shattering your ball and chain, walking through the stormy rain.	Alive in Your Grave	Shadowland	2006
0190	The devil is your only foe under the lightning lying low.	Alive in Your Grave	Shadowland	2006
0191	She breathes the fire and the smoke, laughs at her lifeless joke. Sprints across the land at large, shoves a javelin through his heart.	Alive in Your Grave	Shadowland	2006
0192	Going back into the ground. Nothing but a muddy mound. Screaming at the digging men, who shovel, pack, and dig again.	Alive in Your Grave	Shadowland	2006
0193	Don't hear your mumbles or your words, but keep you alive in your grave.	Alive in Your Grave	Shadowland	2006
0194	Ghosts of the dead still roam to feed their empty hearts and bones. Then back to hell they fly, emptiness beneath the sky.	Alive in Your Grave	Shadowland	2006
0195	The suffered reach their hands up high. Weak break down, stutter, and cry, cast deep into their beds to become the newly made dead.	Alive in Your Grave	Shadowland	2006
0196	Roll in my sleep I'm awakened to find you in my room, my window is high.	Here to Stay	Shadowland	2006
0197	I wanted to see how it is that you sleep, passed out in bed your fingertips red.	Here to Stay	Shadowland	2006
0198	"I shout at the door, ""See me no more!"" Leave how you came, my face full of shame."	Here to Stay	Shadowland	2006
0199	Clothes in the air, I float far away. I'll be back tomorrow, boy, I'm here to stay.	Here to Stay	Shadowland	2006
0200	Night prowler, don't think I could live with the day. Tomorrow she'll wonder on in, looking to stay.	Here to Stay	Shadowland	2006
0201	When you return, ready I'll wait. Crouched in the corner, all you can do is wait.	Here to Stay	Shadowland	2006
0202	Please, don't be mean. I love you, its true. Watching you sleep alone in your room.	Here to Stay	Shadowland	2006
0203	Why can't you see? It's creepy to me to have you here above like a flea.	Here to Stay	Shadowland	2006
0204	A flea that's infested with you on its mind, you are my flower, the prettiest kind.	Here to Stay	Shadowland	2006
0205	Girl, I'll kill you. But first I'll kiss you.	Here to Stay	Shadowland	2006
0206	Please leave and mean it. No. I'm here to stay.	Here to Stay	Shadowland	2006
0207	Footprints embedded, a sign to refuse. Shaking the hollow, the darkening news.	Last Open Door	Shadowland	2006
0208	Extending too far, don't understand why. Rewrite the ending before I can fly.	Last Open Door	Shadowland	2006
0209	Poisonous posture reminds it to stay. Pass it around and give it away.	Last Open Door	Shadowland	2006
0210	Follow the red lines to the back of your hand, veins exploding as you do it again.	Last Open Door	Shadowland	2006
0211	You say you want the world. You always want more.	Last Open Door	Shadowland	2006
0212	Follow it through the last open door.	Last Open Door	Shadowland	2006
0213	Believe all the simple lies. Don't think to ignore. Be the last one to step through the door.	Last Open Door	Shadowland	2006
0214	Under the floor, shadows too near. Lift a finger to save a tear.	Last Open Door	Shadowland	2006
0215	The constellation runs deep and thin, and as it flows it becomes sin.	Last Open Door	Shadowland	2006
0216	I am a monkey, look at me go. I like bananas, snow snow snow.	Fade Proof	Shadowland	2006
0217	Markers can draw, and so can I. Wheels can turn, and you can die.	Fade Proof	Shadowland	2006
0218	Money in the form of spoons. Killing something, something soon.	Fade Proof	Shadowland	2006
0219	Always wanting something new. Summer job in a funeral home.	Fade Proof	Shadowland	2006
0220	Aliens in the sky? I have to pee. Letters and numbers, I still have to pee.	Fade Proof	Shadowland	2006
0221	Pet rocks pack quite a bite. Bite like a knife in winter.	Fade Proof	Shadowland	2006
0222	A single ship goes out to sea. I fell tonight and broke my knee. Owls at night do scare me.	Fade Proof	Shadowland	2006
0223	Big pillows are very comfy.	Fade Proof	Shadowland	2006
